Channel,Status,Subject line or Title,Delivered,Unique Clicked,client
Email,Sent,Witness Singapore's Award Winning Wildlife Parks,446932,1601.0,thomascook
Web Push,Sent,Serene Kerala,162313,778.0,thomascook
Email,Sent,🌸Cherry Blossom Season Japan - A must-have on your travel list. Here’s why!,435760,1151.0,thomascook
Web Push,Sent,Best of Rajasthan,162020,743.0,thomascook
Web Push,Sent,Best Cherry Blossom Festival in the World🌸,161391,802.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",159484,364.0,thomascook
Web Push,Sent,Char Dham Yatra By Helicopter🚁,154588,571.0,thomascook
Web Push,Sent,Egyptian Extravaganza - Flight Inclusive ✈️,156057,511.0,thomascook
Web Push,Sent, Turkish Extravaganza - Flight Inclusive ✈️,143471,490.0,thomascook
Web Push,Sent,Assam and Meghalaya - Flight Inclusive ✈️,146172,469.0,thomascook
Web Push,Sent,Himachal - Shimla - Dharamshala,147285,624.0,thomascook
Email,Sent,Inside: Malaysia Holiday Deals,434518,5350.0,thomascook
Web Push,Sent,Bali Loaded - Buy 1 Get 1 Free,150338,729.0,thomascook
Web Push,Sent,Simply Thailand - Flights Inclusive ✈️,150284,678.0,thomascook
Web Push,Sent,Gujarat - Statue of Unity with Dwarka and Somnath,150988,592.0,thomascook
Web Push,Sent,Amazing Bhutan,148329,626.0,thomascook
Web Push,Sent,Crazy Deal Singapore With Sentosa Island - Flight Inclusive ✈️,150420,481.0,thomascook
Web Push,Sent,Crazy Deal Mauritius - Air Inclusive✈️,145833,540.0,thomascook
Web Push,Sent,Exotic Kashmir with Gulmarg - Air Inclusive ✈️,148696,577.0,thomascook
Web Push,Sent,Andaman Buy 1 Get 1 Free,131610,533.0,thomascook
Web Push,Sent,Dubai Fully Loaded - Buy 1 Get 1 Free,145965,699.0,thomascook
Email,Suspended,Wishing you & your family a Happy Diwali! 🪔,945431,0.0,thomascook
Web Push,Sent,Australian Delight,142733,609.0,thomascook
